,Year,Quarter,Month,Day,% Units Market Share,% Units Market Share R12M
0,1999,Qtr 1,January,1,0.0%,0.00%
1,1999,Qtr 1,January,2,0.0%,0.00%
2,1999,Qtr 1,January,3,0.0%,0.00%
3,1999,Qtr 1,January,4,0.0%,0.00%
4,1999,Qtr 1,January,5,0.0%,0.00%
5,1999,Qtr 1,January,6,0.0%,0.00%
6,1999,Qtr 1,January,7,0.0%,0.00%
7,1999,Qtr 1,January,8,0.0%,0.00%
8,1999,Qtr 1,January,9,0.0%,0.00%
9,1999,Qtr 1,January,10,0.0%,0.00%
10,1999,Qtr 1,January,11,0.0%,0.00%
11,1999,Qtr 1,January,12,0.0%,0.00%
12,1999,Qtr 1,January,13,0.0%,0.00%
13,1999,Qtr 1,January,14,0.0%,0.00%
14,1999,Qtr 1,January,15,0.0%,0.00%
15,1999,Qtr 1,January,16,0.0%,0.00%
16,1999,Qtr 1,January,17,0.0%,0.00%
17,1999,Qtr 1,January,18,0.0%,0.00%
18,1999,Qtr 1,January,19,0.0%,0.00%
19,1999,Qtr 1,January,20,0.0%,0.00%
20,1999,Qtr 1,January,21,0.0%,0.00%
21,1999,Qtr 1,January,22,0.0%,0.00%
22,1999,Qtr 1,January,23,0.0%,0.00%
23,1999,Qtr 1,January,24,0.0%,0.00%
24,1999,Qtr 1,January,25,0.0%,0.00%
25,1999,Qtr 1,January,26,0.0%,0.00%
26,1999,Qtr 1,January,27,0.0%,0.00%
27,1999,Qtr 1,January,28,0.0%,0.00%
28,1999,Qtr 1,January,29,0.0%,0.00%
29,1999,Qtr 1,January,30,0.0%,0.00%
30,1999,Qtr 1,January,31,0.0%,0.00%
31,1999,Qtr 1,February,1,0.0%,0.00%
32,1999,Qtr 1,February,2,0.0%,0.00%
33,1999,Qtr 1,February,3,0.0%,0.00%
34,1999,Qtr 1,February,4,0.0%,0.00%
35,1999,Qtr 1,February,5,0.0%,0.00%
36,1999,Qtr 1,February,6,0.0%,0.00%
37,1999,Qtr 1,February,7,0.0%,0.00%
38,1999,Qtr 1,February,8,0.0%,0.00%
39,1999,Qtr 1,February,9,0.0%,0.00%
40,1999,Qtr 1,February,10,0.0%,0.00%
41,1999,Qtr 1,February,11,0.0%,0.00%
42,1999,Qtr 1,February,12,0.0%,0.00%
43,1999,Qtr 1,February,13,0.0%,0.00%
44,1999,Qtr 1,February,14,0.0%,0.00%
45,1999,Qtr 1,February,15,0.0%,0.00%
46,1999,Qtr 1,February,16,0.0%,0.00%
47,1999,Qtr 1,February,17,0.0%,0.00%
48,1999,Qtr 1,February,18,0.0%,0.00%
49,1999,Qtr 1,February,19,0.0%,0.00%
50,1999,Qtr 1,February,20,0.0%,0.00%
51,1999,Qtr 1,February,21,0.0%,0.00%
52,1999,Qtr 1,February,22,0.0%,0.00%
53,1999,Qtr 1,February,23,0.0%,0.00%
54,1999,Qtr 1,February,24,0.0%,0.00%
55,1999,Qtr 1,February,25,0.0%,0.00%
56,1999,Qtr 1,February,26,0.0%,0.00%
57,1999,Qtr 1,February,27,0.0%,0.00%
58,1999,Qtr 1,February,28,0.0%,0.00%
59,1999,Qtr 1,March,1,0.0%,0.00%
60,1999,Qtr 1,March,2,0.0%,0.00%
61,1999,Qtr 1,March,3,0.0%,0.00%
62,1999,Qtr 1,March,4,0.0%,0.00%
63,1999,Qtr 1,March,5,0.0%,0.00%
64,1999,Qtr 1,March,6,0.0%,0.00%
65,1999,Qtr 1,March,7,0.0%,0.00%
66,1999,Qtr 1,March,8,0.0%,0.00%
67,1999,Qtr 1,March,9,0.0%,0.00%
68,1999,Qtr 1,March,10,0.0%,0.00%
69,1999,Qtr 1,March,11,0.0%,0.00%
70,1999,Qtr 1,March,12,0.0%,0.00%
71,1999,Qtr 1,March,13,0.0%,0.00%
72,1999,Qtr 1,March,14,0.0%,0.00%
73,1999,Qtr 1,March,15,0.0%,0.00%
74,1999,Qtr 1,March,16,0.0%,0.00%
75,1999,Qtr 1,March,17,0.0%,0.00%
76,1999,Qtr 1,March,18,0.0%,0.00%
77,1999,Qtr 1,March,19,0.0%,0.00%
