,Year,Month,Day,isVanArsdel,Total Units
0,2013,January,1,No,3
1,2013,January,1,Yes,10
2,2013,January,2,No,18
3,2013,January,2,Yes,20
4,2013,January,3,No,45
5,2013,January,3,Yes,38
6,2013,January,4,No,3
7,2013,January,4,Yes,7
8,2013,January,5,No,25
9,2013,January,5,Yes,37
10,2013,January,6,No,34
11,2013,January,6,Yes,63
12,2013,January,7,No,32
13,2013,January,7,Yes,37
14,2013,January,8,No,4
15,2013,January,8,Yes,19
16,2013,January,9,No,40
17,2013,January,9,Yes,48
18,2013,January,10,No,71
19,2013,January,10,Yes,66
20,2013,January,11,No,68
21,2013,January,11,Yes,50
22,2013,January,12,No,49
23,2013,January,12,Yes,52
24,2013,January,13,No,70
25,2013,January,13,Yes,56
26,2013,January,14,No,34
27,2013,January,14,Yes,69
28,2013,January,15,No,3
29,2013,January,15,Yes,36
30,2013,January,16,No,41
31,2013,January,16,Yes,42
32,2013,January,17,No,36
33,2013,January,17,Yes,59
34,2013,January,18,No,59
35,2013,January,18,Yes,40
36,2013,January,19,No,52
37,2013,January,19,Yes,49
38,2013,January,20,No,49
39,2013,January,20,Yes,51
40,2013,January,21,No,42
41,2013,January,21,Yes,47
42,2013,January,22,No,2
43,2013,January,22,Yes,12
44,2013,January,23,No,47
45,2013,January,23,Yes,48
46,2013,January,24,No,56
47,2013,January,24,Yes,60
48,2013,January,25,No,56
49,2013,January,25,Yes,51
50,2013,January,26,No,56
51,2013,January,26,Yes,41
52,2013,January,27,No,57
53,2013,January,27,Yes,46
54,2013,January,28,No,36
55,2013,January,28,Yes,66
56,2013,January,29,No,2
57,2013,January,29,Yes,12
58,2013,January,30,No,61
59,2013,January,30,Yes,78
60,2013,January,31,No,193
61,2013,January,31,Yes,128
62,2013,February,1,No,24
63,2013,February,1,Yes,15
64,2013,February,2,No,30
65,2013,February,2,Yes,20
66,2013,February,3,No,41
67,2013,February,3,Yes,32
68,2013,February,4,No,27
69,2013,February,4,Yes,31
70,2013,February,5,No,1
71,2013,February,5,Yes,11
72,2013,February,6,No,27
73,2013,February,6,Yes,39
74,2013,February,7,No,45
75,2013,February,7,Yes,61
76,2013,February,8,No,47
77,2013,February,8,Yes,36
78,2013,February,9,No,42
79,2013,February,9,Yes,27
80,2013,February,10,No,36
81,2013,February,10,Yes,25
82,2013,February,11,No,38
83,2013,February,11,Yes,42
84,2013,February,12,No,2
85,2013,February,12,Yes,19
86,2013,February,13,No,37
87,2013,February,13,Yes,46
88,2013,February,14,No,56
89,2013,February,14,Yes,61
90,2013,February,15,No,59
91,2013,February,15,Yes,49
92,2013,February,16,No,55
93,2013,February,16,Yes,20
94,2013,February,17,No,35
95,2013,February,17,Yes,39
96,2013,February,18,No,29
97,2013,February,18,Yes,39
98,2013,February,19,No,4
99,2013,February,19,Yes,8
100,2013,February,20,No,44
101,2013,February,20,Yes,47
102,2013,February,21,No,60
103,2013,February,21,Yes,41
104,2013,February,22,No,55
105,2013,February,22,Yes,31
106,2013,February,23,No,43
107,2013,February,23,Yes,36
108,2013,February,24,No,46
109,2013,February,24,Yes,48
110,2013,February,25,No,39
111,2013,February,25,Yes,51
112,2013,February,26,No,5
113,2013,February,26,Yes,16
114,2013,February,27,No,34
115,2013,February,27,Yes,46
116,2013,February,28,No,353
117,2013,February,28,Yes,332
118,2013,March,1,No,14
119,2013,March,1,Yes,20
120,2013,March,2,No,1
121,2013,March,2,Yes,7
122,2013,March,3,No,3
123,2013,March,3,Yes,11
124,2013,March,4,No,22
125,2013,March,4,Yes,53
126,2013,March,5,No,31
127,2013,March,5,Yes,23
128,2013,March,6,No,30
129,2013,March,6,Yes,35
130,2013,March,7,No,30
131,2013,March,7,Yes,37
132,2013,March,8,No,20
133,2013,March,8,Yes,39
134,2013,March,9,No,2
135,2013,March,9,Yes,14
136,2013,March,10,No,21
137,2013,March,10,Yes,55
138,2013,March,11,No,41
139,2013,March,11,Yes,59
140,2013,March,12,No,38
141,2013,March,12,Yes,33
142,2013,March,13,No,49
143,2013,March,13,Yes,47
144,2013,March,14,No,39
145,2013,March,14,Yes,60
146,2013,March,15,No,33
147,2013,March,15,Yes,62
